Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Turkish (TR)
,"Guided by those magic words, which sounded like a psalm, seven stakes gathered.{n}...They were the stakes of the seven demons symbolizing the deadly sins of sinful people.","Guided by those magic words, which sounded like a command, seven stakes gathered. ...They were the stakes of the seven demons symbolizing the deadly sins of sinful people. ","Guided by those magic words, which sounded like a command, seven stakes gathered....They were the stakes of the seven demons symbolizing the deadly sins of sinful people.",謳うような魔法の言葉に導かれ、７つの杭が集います。…それは、罪深き人の大罪を象徴する七人の悪魔たちの杭。,謳うような魔法の言葉に導かれ、７つの杭が集います。{n}…それは、罪深き人の大罪を象徴する七人の悪魔たちの杭。,"Повинуясь этим волшебным словам, прозвучавшим как псалом, возникло семеро кинжалов.{n}...То были кинжалы семи демонов, символизирующих смертные грехи людей.","Guiadas por aquelas palavras mágicas, que soavam como um salmo, sete estacas apareceram.{n}...Elas eram as estacas dos sete demônios simbolizando os pecados capitais de uma pessoa pecadora.",被吟唱一般的魔法语言所引导，七根桩刺汇聚而来。{n}…这桩属于七位恶魔，象征着罪孽深重之人的七重大罪。,被吟唱一般的魔法語言所引導，七根樁刺匯聚而來。{n}…這樁屬於七位惡魔，象徵著罪孽深重之人的七重大罪。,"In seguito a queste parole magiche, che suonavano come un ordine, si radunarono sette pugnali. ... Erano i sette pugnali dei sette demoni rappresentanti i vizi capitali dei peccatori.","Si radunarono sette picchetti, guidati da quelle parole magiche celebratorie...Erano i picchetti con sopra sette demoni, rappresentanti i sette peccati capitali di coloro che hanno perso la retta via.","Guíadas por el comando de aquellas palabras mágicas, siete estacas se reunieron.{n}Eran las estacas de los siete demonios simbolizando los pecados capitales de la gente pecaminosa.",ﺗﺒﻌﺎ ﻟﺘﻠﻚ ﺍﻟﻜﻠﻤﺎﺕ ﺍﻟﺴﺤﺮﻳﺔ، ﺍﻟﺘﻲ ﺑﺪﺕ ﻭﻛﺄﻧﻬﺎ ﺃﻣﺮ، ﺗﺠﻤﻊ ﺳﺒﻌﺔ ﺃﻭﺗﺎﺩ.{n}...ﻟﻘﺪ ﻛﺎﻧﺖ ﺃﻭﺗﺎﺩ ﺍﻟﺸﻴﺎﻃﻴﻦ ﺍﻟﺴﺒﻌﺔ ﺍﻟﺘﻲ ﺗﺮﻣﺰ ﺇﻟﻰ ﺧﻄﺎﻳﺎ ﺍﻟﻨﺎﺱ ﺍﻵﺛﻤﻴﻦ.,Bir ilahiyi andıran bu büyülü sözlerin rehberliğinde yedi kazık bir araya geldi.{n}...Bunlar günahkâr insanların ölümcül günahlarını simgeleyen yedi iblisin kazıklarıydı.
{f:5:Beatrice},"""Beelzebub and Asmodeus. Come, forgive their sins. Release the spirits of the sinners...!""","""Beelzebub and Asmodeus. Come, forgive the sins. Release the spirits of the sinners...!"" ","""Beelzebub and Asmodeus. Come, forgive the sins. Release the spirits of the sinners...!""",「ベルゼブブにアスモデウス。さぁさ、罪を赦しなさい。罪人の魂を解放なさい…！」,[=JP],"""Вельзевул и Асмодей. Вперёд, отпустите им грехи. Освободите их грешные души!..""","""Beelzebub e Asmodeus. Venham, perdoem os pecados deles. Libertem os espíritos dos pecadores...!""",「贝露赛布布、阿丝磨德乌丝。去吧，去赦免罪行吧。去解放罪人的灵魂吧…！」,「貝露賽布布、阿絲磨德烏絲。去吧，去赦免罪行吧。去解放罪人的靈魂吧…！」,"""Beelzebub e Asmodeus. Venite, perdonate i peccati. Liberate gli spiriti dei peccatori...!""","""Beelzebub, Asmodeus. Orsù, perdonate i peccati. Liberate le anime dei peccatori...!""","""Beelzebub y Asmodeus. Vamos, perdonen sus pecados. ¡Liberen los espíritus de los pecadores!""","""ﺑﻴﻠﺰﻳﺒﻮﺏ ﻭﺁﺳﻤﻮﺩﻳﻮﺱ. ﻫﻠﻤﺎ ﻟﻐﻔﺮﺍﻥ ﺍﻟﺨﻄﺎﻳﺎ. ﻭﻃﻬﺮﺍ ﺃﺭﻭﺍﺡ ﺍﻵﺛﻤﻴﻦ...!""","""Beelzebub ve Asmodeus. Gelin, onların günahlarını affedin. Günahkarların ruhlarını serbest bırakın...!"""
Ushiromiya Battler,"""Wha...?!""","""Wha...?!"" ","""Wha...?!""",「ぅおッ…？！」,[=JP],"""Что?!""","""Quê...?!""",「呜哦…？！」,「嗚哦…？！」,"""Cos...?!""",[=ITA],"""¡¿Eh?!...""","""ﻣﺎﺫﺍ...؟!""","""Ne...?!"""
,The stakes of Beelzebub and Asmodeus responded to {f:5:Beatrice}'s call.,The picks of Beelzebub and Asmodeus responded to {f:5:Beatrice}'s call. ,"The picks of Beelzebub and Asmodeus responded to Beatrice's call.",ベアトリーチェの呼びかけに、ベルゼブブの杭とアスモデウスの杭が応えます。,[=JP],Кинжалы Вельзевула и Асмодея ответили на зов {f:5:Беатриче}.,As estacas de Beelzebub e Asmodeus responderam ao chamado de {f:5:Beatrice}.,听到贝阿朵莉切的呼唤，贝露赛布布之桩和阿丝磨德乌丝之桩作出了回应。,聽到貝阿朵莉切的呼喚，貝露賽布布之樁和阿絲磨德烏絲之樁作出了回應。,I picchetti di Beelzebub e Asmodeus risposero alla chiamata di Beatrice.,Alla chiamata di {f:5:Beatrice} risposero i picchetti di Beelzebub e Asmodeus.,Las estacas de Beelzebub y Asmodeus respondieron al llamado de {f:5:Beatrice}.,ﺍﺳﺘﺠﺎﺏ ﺑﻴﻠﺰﻳﺒﻮﺏ ﻭﺁﺳﻤﻮﺩﻳﻮﺱ ﺍﻟﻤﺨﺘﺎﺭﻳﻦ ﻟﻨﺪﺍﺀ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}.,Beelzebub ve Asmodeus'un kazıkları {f:5:Beatrice}'in çağrısına cevap verdi.
,"The two demonic stakes burst into motion like billiard balls struck by a cue, and were sucked in through the crack of the door.","The two stakes of the demons were sucked in through the crack of the door, like billiard balls struck by a cue stick. "," The two stakes of the demons were sucked in through the crack of the door, like billiard balls struck by a cue stick.",その２本の悪魔の杭は、まるでキューに弾かれたビリヤードの玉のように弾かれ、扉の隙間に吸い込まれていきます。,[=JP],"Два демонических кинжала пролетели сквозь дверную щель как бильярдные шары, пущенные кием.","As duas estacas demoníacas entraram em movimento, como bolas de bilhar atingidas por um taco, e foram sugadas através da fresta da porta.",这两把恶魔之桩，简直就像被球杆击出的台球一般射出，被吸入似的飞进门缝。,這兩把惡魔之樁，簡直就像被球杆擊出的台球一般射出，被吸入似的飛進門縫。,"I due pugnali dei demoni furono risucchiati attraverso la fessura della porta, come fossero stati palle da biliardo colpite da una stecca.","I due picchetti demoniaci vennero risucchiati nello spiraglio della porta, lanciandosi come se fossero palle da biliardo colpite da una stecca.","Las dos estacas demoníacas se pusieron en movimiento como bolas de billar al golpe de un taco, y fueron absorbidos por el espacio de la puerta.",ﺍﻧﻄﻠﻖ ﺍﻟﻮﺗﺪﻳﻦ ﻋﺒﺮ ﻓﺠﻮﺓ ﺍﻟﺒﺎﺏ، ﻣﺜﻞ ﻛﺮﺍﺕ ﺑﻠﻴﺎﺭﺩﻭ ﺿﺮﺑﺘﻬﺎ ﻋﺼﺎ.,İki şeytani kazık bir ıstakanın vurduğu bilardo topları gibi harekete geçti ve kapının aralığından içeri girdi.
,"Then came the sound of them deflecting repeatedly off the walls of the room, making a sound like a woodpecker.","Then, several scattered noises refracted through the wall, making a sound like a woodpecker. "," Then, several scattered noises refracted through the wall, making a sound like a woodpecker.",そして、部屋中の壁に何度も乱反射する音が、まるで啄木鳥の啄ばむ音のように聞こえてくるのです。,[=JP],"Затем послышалось несколько ударов об стены, напоминающих стук дятла.","Então veio o som delas rebatendo repetidamente pelas paredes do quarto, fazendo um som como um pica‐pau.",然后，它们在房间的墙壁上不断毫无规律地反弹，发出啄木鸟啄木般的响声。,然後，它們在房間的牆壁上不斷毫無規律地反彈，發出啄木鳥啄木般的響聲。,"Poi, diversi suoni sparsi si rifransero per i muri, dando l'idea del beccare di un picchio.","Dopodiché, sulle pareti della stanza si sparpagliarono diversi rumori, simili al beccare di un picchio.","Entonces vino el sonido de estas desviándose repetidamente de las paredes de la habitación, haciendo un sonido como el de un pájaro carpintero.",ﺑﻌﺪﻫﺎ، ﺗﺮﺩﺩﺕ ﻋﺪﺓ ﺿﻮﺿﺎﺀ ﻣﻦ ﻭﺭﺍﺀ ﺍﻟﺠﺪﺍﺭ، ﻣﻤﺎ ﺟﻌﻞ ﺍﻟﺼﻮﺕ ﻳﺸﺒﻪ ﻧﻘﺎﺭ ﺍﻟﺨﺸﺐ.,Ardından odanın duvarlarından defalarca sekerek ağaçkakan sesine benzer bir ses çıkardılar.
,"And finally, a pleasant sound could be heard.","And at the end, a pleasant sound could be heard. "," And at the end, a pleasant sound could be heard.",そして最後に、気持ちのいい音が聞こえました。,[=JP],И наконец раздался приятный звук.,"E, finalmente pode‐se ouvir um som agradável.",最后，一个令人舒畅声音响起。,最後，一個令人舒暢聲音響起。,"Infine, si sentì un suono piacevole.","E infine, si sentì un suono gradevole alle orecchie...","Y finalmente, un sonido agradable pudo oírse.",ﻭﺑﻌﺪ ﺫﻟﻚ، ﻳﻤﻜﻦ ﺳﻤﺎﻉ ﺻﻮﺕ ﻣﺒﻬﺞ.,"Ve sonunda, hoş bir ses duyuldu."
,"......It was a small, satisfying sound, like the one heard when someone is chopping firewood and the falling ax neatly and easily slices through the wood.","...It was a small, satisfying sound, like the one heard when someone is chopping firewood and the falling ax neatly and easily slices through the wood. ","......It was a small, satisfying sound, like the one heard when someone is chopping firewood and the falling ax neatly and easily slices through the wood.",……例えるなら、薪割りの時、振るい下ろした斧が綺麗にさっくりと薪を割ったような、とても小気味よい音。,[=JP],"......Это был тихий, доставляющий удовлетворение звук, похожий на тот, когда кто‐то рубит дрова, и топор легко и аккуратно рассекает древесину.","......Era um som baixo, satisfatório, como o que se ouve quando alguém está cortando lenha, e o machado desce de modo limpo e fácil através da madeira.",……举例的话，它就如劈柴时漂亮地挥下斧头，把柴干净利落地一分为二一般，非常令人舒畅。,……舉例的話，它就如劈柴時漂亮地揮下斧頭，把柴乾淨利落地一分為二一般，非常令人舒暢。,"... Era un suono piccolo e gradevole, come quello che si può sentire quando qualcuno sta tagliando la legna da ardere, e l'ascia cadente trancia il legno con nettezza e facilità.","Era un suono molto gratificante, che avrebbe ricordato un momento in cui si sta tagliando della legna da ardere e si fa cadere giù un'ascia, la quale trancia il legno di netto e con facilità.","Era un sonido pequeño y satisfactorio, como el que uno escucha cuando alguien está cortando leña y el hacha fácilmente corta la madera.",............ﻟﻘﺪ ﻛﺎﻥ ﺻﻮﺗﺎ ﺧﺎﻓﺘﺎ ﻭﻣﺮﺿﻴﺎ، ﻣﺜﻞ ﺍﻟﺼﻮﺕ ﺍﻟﺬﻱ ﻳﺼﺪﺭ ﻋﻨﺪﻣﺎ ﻳﻘﻄﻊ ﺃﺣﺪﻫﻢ ﺍﻟﺤﻄﺐ، ﻛﺎﻟﻔﺄﺱ ﺍﻟﺴﺎﻗﻂ ﻟﻴﺠﺰ ﺑﺪﻗﺔ ﻭﺳﻬﻮﻟﺔ ﺍﻟﺨﺸﺐ.,"......Bu küçük, tatmin edici bir sesti, tıpkı birisi odun keserken ve sallanan balta odunları düzgün ve kolay bir şekilde keserken duyulan sese benziyordu."
,It was the sound of the two stakes burying themselves deep into Eva and Hideyoshi's foreheads.,It was the sound of the two picks burying themselves deep into Eva's and Hideyoshi's foreheads. ," It was the sound of the two picks burying themselves deep into Eva and Hideyoshi's foreheads.",それは、２本の杭がそれぞれ、絵羽と秀吉の眉間に深々と打ち込まれた時の音。,[=JP],"Таков был звук двух кинжалов, глубоко вонзившихся во лбы Евы и Хидэёши.","Era o som das duas estacas, enterrando‐se profundamente nas testas de Eva e Hideyoshi.",那是两把桩分别深深扎进绘羽和秀吉眉间时发出的声音。,那是兩把樁分別深深扎進繪羽和秀吉眉間時發出的聲音。,Era il suono dei due paletti che si conficcavano profondamente nelle fronti di Eva e Hideyoshi.,"Era il rumore dei due picchetti, che si conficcarono in profondità nelle fronti di rispettivamente Eva e Hideyoshi.",Era el sonido de las dos estacas enterrándose profundamente en las frentes de Eva y Hideyoshi.,ﻟﻘﺪ ﻛﺎﻥ ﺻﻮﺕ ﻏﺮﺯ ﺍﻟﻮﺗﺪﻳﻦ ﺍﻟﻤﺨﺘﺎﺭﻳﻦ ﻓﻲ ﺟﺒﺎﻩ ﺇﻳﻔﺎ ﻭﻫﻴﺪﻳﻮﺷﻲ.,"Bu, iki kazığın Eva ve Hideyoshi'nin alınlarının derinliklerine gömülme sesiydi."
{f:5:Beatrice},"""............Right through the middle. Want to see...?""","""...Right down the middle. Want to see...?"" ","""............Right down the middle. Want to see...?""",「…………ど真ん中というところよ。見てみるか…？」,[=JP],"""............Прямо в яблочко. Хочешь посмотреть?..""","""............Bem no meio delas. Quer ver...?""",「…………正中眉心哟。要不要去看看…？」,「…………正中眉心喲。要不要去看看…？」,"""... Proprio nel mezzo. Vuoi dare un'occhiata...?""","""...Al centro della fronte. Vuoi dare un'occhiata...?""","""Justo por el medio. ¿Quieres ver?""","""............ﻟﻘﺪ ﺃﺻﺎﺑﺎ ﺍﻟﻬﺪﻑ ﺑﺪﻗﺔ. ﺃﺗﺮﻳﺪ ﺃﻥ ﺗﺮﻯ...؟""","""............Tam da ortasından. Görmek istiyor musun...?"""
,They had definitely heard two sounds like someone's forehead being split open.,They'd definitely heard two sounds like a pair of foreheads being split open. ,"They had definitely heard two sounds like someone's forehead being split open.",部屋からは確かに、眉間が砕ける音が二人分聞こえました。,[=JP],Они определённо услышали звуки будто двух раскалывающихся лбов.,"Eles tinham definitivamente ouvido dois sons, como a testa de alguém sendo aberta.",确实听到房间里响起了，两人眉间被击碎的声音。,確實聽到房間裡響起了，兩人眉間被擊碎的聲音。,Avevano sentito certamente due suoni come se la fronte di qualcuno fosse stata aperta a metà.,Si poteva indubbiamente sentire il suono di due fronti che venivano fracassate.,Ellos definitivamente habían escuchado dos sonidos como la frente de alguien siendo partida.,ﻟﻘﺪ ﺳﻤﻌﻮﺍ ﺑﺎﻟﺘﺄﻛﻴﺪ ﺻﻮﺗﻴﻦ ﻣﺜﻞ ﺷﻖ ﺟﺒﻬﺔ ﺃﺣﺪ.,Kesinlikle birinin alnının yarılması gibi iki ses duymuşlardı.
,"Battler wasn't permitted to see it, since he was on the other side of the door, but those two had died again, and this second time, they lay not an inch apart from where they had lain the last time, with the exact same blood spray as before.","Battler wasn't permitted to see it, since he was on the other side of the door, but those two had died again, and this second time, they lay not an inch apart from where they had lain the last time, with the exact same blood-spray as before. "," Battler wasn't permitted to see it, since he was on the other side of the door, but those two had died again, and this second time, they lay not an inch apart from where they had lain the last time, with the exact same blood-spray as before.",扉越しの戦人には見ることも叶いませんが、二度死ぬ二人は、二度目も寸分違わぬ同じ姿で倒れ、同じ模様の血痕を描くのでした。,[=JP],"Баттлер не мог этого видеть, так как он находился с другой стороны двери, но те двое умерли снова, и на этот раз они лежали ровно на том же месте, что и в прошлый раз, с точно такими же следами крови, как и в тот раз.","Não era permitido a Battler ver isso, já que ele estava do outro lado da porta; mas, quanto aos que tinham morrido de novo, nesta segunda vez eles não estavam um centímetro mais distante de onde haviam estado na última vez, com o mesmo spray de sangue de antes.",虽然战人隔着门连看也看不到，但是再一次死掉的两人，再一次以不差毫厘的同样姿势倒下，流下了同样的血迹。,雖然戰人隔著門連看也看不到，但是再一次死掉的兩人，再一次以不差毫厘的同樣姿勢倒下，流下了同樣的血跡。,"A Battler non fu permesso vedere, dal momento che si trovava dall'altra parte della porta, ma quei due erano morti di nuovo, e questa era la seconda volta, non si trovano neanche a un centimetro di distanza da dov'erano la volta prima, con lo stesso identico schizzo di sangue.","Battler, che si trovava dall'altra parte della porta, non riuscì neanche a vederli, ma loro due erano morti di nuovo, collassando per una seconda volta nello stesso identico modo, e formando le stesse chiazze di sangue.","A Battler no se le permitía verlo, ya que estaba del otro lado de la puerta, pero ambos habían muerto una vez más, y en esta segunda ocasión, no estaban ni un centímetro más lejos de donde yacieron la última vez, con la misma mancha de sangre que antes.",ﻟﻢ ﻳﺴﻤﺢ ﻟﺒﺎﺗﻠﺮ ﺑﺮﺅﻳﺔ ﺫﻟﻚ، ﻷﻧﻪ ﻛﺎﻥ ﻋﻠﻰ ﺍﻟﺠﺎﻧﺐ ﺍﻵﺧﺮ ﻣﻦ ﺍﻟﺒﺎﺏ، ﻟﻜﻦ ﺍﻻﺛﻨﻴﻦ ﻣﺎﺗﺎ ﻣﺮﺓ ﺃﺧﺮﻯ، ﻭﻓﻲ ﺍﻟﻤﺮﺓ ﺍﻟﺜﺎﻧﻴﺔ، ﻛﺎﻧﺎ ﻻ ﻳﺒﻌﺪﺍﻥ ﺷﺒﺮﺍ ﻭﺍﺣﺪﺍ ﻋﻦ ﺍﻟﻤﻜﺎﻥ ﺍﻟﺬﻱ ﺍﺿﻄﺠﻌﺎ ﻓﻴﻪ ﻓﻲ ﺍﻟﻤﺮﺓ ﺍﻷﺧﻴﺮﺓ، ﻭﺑﻨﻔﺲ ﻛﻤﻴﺔ ﻧﺰﻳﻒ ﺍﻟﺪﻡ ﻛﻤﺎ ﻓﻲ ﺍﻟﺴﺎﺑﻖ.,"Kapının diğer tarafında olduğu için Battler'ın bunu görmesine izin verilmemişti, ama o ikisi yine ölmüştü ve bu ikinci seferde, bir önceki sefer oldukları yerlerden bir santim bile uzakta değil, aynı kan izleriyle birlikte yatıyorlardı."
Ushiromiya Battler,"""Y‐............you must be crazy... Th‐......this is insane......! Y‐you can't kill people with this insanity!!!""","""...Y-You moron... ...Th-That's insane...! Y-You think you can just kill them like that?!!!"" ","""Y, ............you moron... Th, ......that's insane......! Y, you think you can just kill them like that?!!!""",「ば、…………馬鹿野郎…。そ、……そんな滅茶苦茶で……！　こ、殺せてたまるかよッ！！！」,[=JP],"""Т............ ты рехнулась... Э...... это безумие!..... Т‐ты думаешь, ты можешь вот так просто их убивать?!!""","""V‐............Você deve estar louca... Is‐......Isso é insano......! V‐Você não pode matar pessoas com essa insanidade!!!""",「你、…………你这混蛋…。这、……这种荒谬的方法……！怎、怎么可能杀得了人啊！！！」,「你、…………你這混蛋…。這、……這種荒謬的方法……！怎、怎麼可能殺得了人啊！！！」,"""I... Idiota... è... è una cosa folle...! P-Pensi di poterli uccidere e basta?!!!""","""...B-Bastarda... È-È una follia...! N-Non puoi ucciderli come se nulla fosse!!!""","""T‐Tienes que estar loca... ¡E‐Esto es una locura! ¡¡¡N‐No puedes matar a la gente con esta locura!!!""","""ﺃ....ﺃﻳﺘﻬﺎ ﺍﻟﺤﻤﻘﺎﺀ... ﻫـ....ﻫﺬﺍ ﻣﺴﺘﺤﻴﻞ......! ﻳﺴﺘﺤﻴﻞ ﺃﻥ ﺗﺴﺘﻄﻴﻌﻲ ﻗﺘﻠﻬﻤﺎ ﺑﻤﺜﻞ ﻫﺬﻩ ﺍﻟﻄﺮﻳﻘﺔ...!""","""S-............Sen çıldırmış olmalısın... Bu-......Bu delilik......! B-Bu delilikle insanları öldürebileceğini mi sanıyorsun?!!"""
{f:5:Beatrice},"""I most certainly can. ......I can kill them just like this...! *cackle*cackle*cackle*!""","""I can kill them. ...I can kill them just like this...! *cackle*cackle*cackle*!"" ","""I can kill them. ......I can kill them just like this...! *cackle*cackle*cackle*!""",「殺せるとも。……このように殺せるとも…！　くっくくくくくくく！」,[=JP],"""Ещё как. ......И вот так запросто!.. Хи‐хи‐хи‐хи‐хи.""","""Eu certamente posso. ......Eu posso matá‐los dessa forma...! *risos*risos*risos*!""",「杀得了。……当然杀得了…！呵呵呵呵呵呵呵呵！」,「殺得了。……當然殺得了…！呵呵呵呵呵呵呵呵！」,"""Posso ucciderli. ... Posso ucciderli proprio così...! *cackle*cackle*cackle*!""","""Certo che posso... Posso ucciderli in questo modo quanto mi pare...! Mhmhmhmhmhmhmhmh!""","""Por supuesto que puedo. ¡Puedo matarlos de esta manera! ¡*carcajada*carcajada*carcajada*!""","""ﺑﺎﻟﻄﺒﻊ ﺃﺳﺘﻄﻴﻊ. ......ﺑﻬﺬﻩ ﺍﻟﺒﺴﺎﻃﺔ ﻳﻤﻜﻨﻨﻲ ﻗﺘﻠﻬﻤﺎ...! *ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*!""","""Kesinlikle öldürebilirim. ......Onları aynı bu şekilde öldürebilirim...! *cackle*cackle*cackle*!"""
,"Suddenly, they were no longer in the hall, but seated at the tea party they had started from.","Suddenly, they were no longer in the hall, but seated at the tea party they had started from. ","Suddenly, they were no longer in the hall, but seated at the tea party they had started from.",気付けばそこは廊下ではなく、元のお茶会の席。,[=JP],"Внезапно они уже были не в коридоре, а вновь сидели в комнате, где проходило чаепитие.","De repente, eles já não estavam mais no corredor, mas sentados na festa do chá onde haviam começado.",回过神来时已不在走廊，而是回到了茶会的桌前。,回過神來時已不在走廊，而是回到了茶會的桌前。,"Improvvisamente, non si trovavano più nell'atrio, ma seduti al tea party da dove avevano cominciato.","Ad un tratto, non si trovarono più nel corridoio, ma nel tea party in cui erano all'inizio...","De repente, ya no estaban en el pasillo, sino que sentados en la fiesta de té de en la que habían empezado.",ﻭﻓﻲ ﻃﺮﻓﺔ ﻋﻴﻦ، ﺍﺧﺘﻔﻮﺍ ﻣﻦ ﺍﻟﺮﺩﻫﺔ ﻟﻴﻌﻮﺩﻭﺍ ﻣﺠﺪﺩﺍ ﻟﺤﻔﻠﺔ ﺍﻟﺸﺎﻱ.,"Birdenbire artık koridorda değil, önceki çay partisindelerdi."
,"......Everyone but Battler was sitting meekly, ......but Kanon was moaning, fresh blood dangling from his mouth.{n}Such bad manners for a tea party.","...Everyone but Battler was sitting meekly, ...but Kanon was moaning, fresh blood dangling from his mouth. What a rude thing to do at a tea party. ","......Everyone but Battler was sitting meekly, ......but Kanon was moaning, fresh blood dangling from his mouth. What a rude thing to do at a tea party.",……戦人以外のみんなは神妙に座っていましたが、……嘉音が呻きながら口から鮮血を垂らし始めます。お茶会の席で、はしたないですね。,……戦人以外のみんなは神妙に座っていましたが、……嘉音が呻きながら口から鮮血を垂らし始めます。{n}お茶会の席で、はしたないですね。,"......Все, кроме Баттлера, сидели смирно...... но Канон стонал, и изо рта у него текла свежая кровь.{n}Как неприлично для чаепития.","......Todos, menos Battler, estavam sentados calmamente, ......mas Kanon estava gemendo, sangue fresco estava escorrendo de sua boca.{n}Que péssimas maneiras para uma festa do chá.",……虽然除战人以外，大家全都正襟危坐，……但嘉音却突然呻吟起来，嘴角开始淌下鲜血。{n}在茶会的座位上，真是十分难看。,……雖然除戰人以外，大家全都正襟危坐，……但嘉音卻突然呻吟起來，嘴角開始淌下鮮血。{n}在茶會的座位上，真是十分難看。,"... Tutti tranne Battler erano seduti placidamente... ma Kanon stava gemendo, il sangue fresco che gli colava dalla bocca. Quale scortesia ad un tea party.","Ad eccezione di Battler, erano tutti seduti con mansuetudine... ma Kanon stava gemendo, con del sangue fresco che gli colava dalla bocca. Che gesto maleducato da compiere ad un tea party.","Todos excepto Battler estaban sentados mansamente... pero Kanon estaba gimoteando, con sangre fresca colgando de su boca.{n}Vaya malos modales para una fiesta de té.",..........ﺟﻠﺲ ﺍﻟﺠﻤﻴﻊ ﺑﺨﻀﻮﻉ ﻋﺪﺍ ﺑﺎﺗﻠﺮ.... ﻟﻜﻦ ﺑﺪﺃ ﻛﺎﻧﻮﻥ ﻳﺌﻦ، ﻭﻳﻨﺰﻑ ﺩﻣﺎ ﻣﻦ ﻓﻤﻪ.{n}ﻳﺎ ﻟﻪ ﻣﻦ ﺷﻲﺀ ﻭﻗﺢ ﺗﻔﻌﻠﻪ ﻓﻲ ﺣﻔﻠﺔ ﺍﻟﺸﺎﻱ.,"......Battler hariç herkes uysalca oturuyordu, ......ama Kanon ağzından taze kan süzülürken inliyordu.{n}Bir çay partisi için ne kadar kötü bir davranış."
,Satan's stake was buried deep into Kanon's chest.,Satan's stake was buried deep into Kanon's chest. ," Satan's stake was buried deep into Kanon's chest.",嘉音の胸には、サタンの杭が深々と打ち込まれていました。,[=JP],У Канона глубоко в груди торчал кинжал Сатаны.,A estaca de Satan estava enterrada profundamente no peito de Kanon.,嘉音的胸前，撒旦之桩深深地刺了进去。,嘉音的胸前，撒旦之樁深深地刺了進去。,Il pugnale di Satan era conficcato profondamente nel suo petto.,Sul suo petto era conficcato in profondità il picchetto di Satan.,La estaca de Satán estaba enterrada profundamente en el pecho de Kanon.,ﻭﺗﺪ ﺍﻟﺸﻴﻄﺎﻥ ﺳﺎﺗﺎﻥ ﻏﺮﺯ ﺑﻌﻤﻖ ﻓﻲ ﺻﺪﺭ ﻛﺎﻧﻮﻥ.,Satan'ın kazığı Kanon'un göğsünün derinliklerine gömülmüştü.
Kanon,"""..................u..................gah.........""","""..................u... ...gah ..."" ","""...............u, ............gah.........""",「………………ぅ、……………く………。」,「………………ぅ、……………く………」,"""..................У.................. гх.........""",[=UP],「………………呜，……………咕………」,「………………嗚，……………咕………」,"""... u... gah ...""","""...Uh... Gah...""","""... U... gah...""",""".....ﺁﻩ،......ﺁﻏﻎ،......""",[=UP]
Ushiromiya Battler,"""Ka‐......Kanon‐kun......Kanon‐kun!! Daa......damn iiiiiiiiiit!!""","""K-Kanon-kun, ...Kanon-kun!! ...D-Damn iiiiiiiiiit!!"" ","""K, ......Kanon-kun......, Kanon-kun!! D, ......damn iiiiiiiiiit!!""",「か、……嘉音くん……、嘉音くんッ！！く、……くそぉおおぉおぉ！！」,「か、……嘉音くん……、嘉音くんッ！！　く、……くそぉおおぉおぉ！！」,"""Ка...... Канон‐кун...... Канон‐кун!!! У‐у...... ублю‐юдки‐и‐и!!!""","""Ka‐......Kanon‐kun......Kanon‐kun!! Merda......merdaaaaaaaaaaaaaaa!!""",「嘉、……嘉音君……、嘉音君！！混、……混蛋————！！」,[=CN],"""K... Kanon-kun... Kanon-kun!! D... Dannazioneeeeeeeeee!!""","""K-Kanon-kun... Kanon-kun!! C-Cazzooooo!!""","""K‐Kanon‐kun... ¡¡Kanon‐kun!! ¡¡M-Maldita seaaaaaaa!!"""," ""ﻛـ....ﻛﺎﻧﻮﻥ-ﻛﻦ...... ﻛﺎﻧﻮﻥ-ﻛﻦ!! ......ﺍﻟﻠﻠﻠﻠﻠﻌﻨﺔ!!""","""Ka‐......Kanon‐kun......Kanon‐kun!! Kaa......kahrolasııııııı!!"""
,Battler was the only one getting agitated.,Battler was the only one getting agitated. ,"Battler was the only one getting agitated.",激昂するのは戦人ばかり。,[=JP],"Но Баттлер был единственным, кто вышел из себя.",Battler era o único que estava agitado.,大喊大叫的只有战人。,大喊大叫的只有戰人。,Battler era il solo che si stava agitando.,Battler era l'unico ad essere indignato.,Battler era el único que se ponía inquieto.,ﺷﻌﺮ ﺑﺎﺗﻠﺮ ﺑﺎﻟﻬﻴﺠﺎﻥ.,Telaşlanan tek kişi Battler'dı.
