Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
Ushiromiya Rosa,"""But I'm a single mother, so I have to work! I may not look it, but I'm a president of a company, and I bear the responsibility for my employees' well‐being!! I'm busy with my work all year round, there's no time for me to rest!!""","But I'm a single mother, so I have to work! I may not look it, but I'm a president of a company, and I bear responsibility for my employees' well-being!! I'm busy with my work all year round, so there's no time for me to rest!!"" ","But I'm a single mother, so I have to work!  I may not look it, but I'm a president of a company, and I bear the responsibility for my employees' well-being!!  I'm busy with my work all year round, so there's no time for me to rest!!""",でも、シングルマザーですから働かなくちゃならない！　私はこう見えても会社の社長ですから、社員の生活も背負っている！！　一年中仕事で忙しいんですよ、休む暇だってないんですッ！！」,「でも、シングルマザーですから働かなくちゃならない！　私はこう見えても会社の社長ですから、社員の生活も背負っている！！　一年中仕事で忙しいんですよ、休む暇だってないんですッ！！」,"""Но я мать‐одиночка и вынуждена работать. По мне, может, и не скажешь, но я президент компании и на мне лежит ответственность за благосостояние мои подчинённых! Я занята работой круглый год, и у меня практически нет времени передохнуть!""","""Mas sou uma mãe solteira, por isso eu preciso trabalhar! Pode não parecer, mas eu sou presidente de uma companhia e preciso assumir a responsabilidade pelo bem‐estar de todos os meus funcionários!! Estou ocupada com o trabalho durante o ano inteiro e não tenho tempo para descansar!!""",「但是，单身母亲没法不去工作！别看这样，我可是个公司的社长，还背负着公司职员的生计！！一年到头工作都很忙，连休假的时间都没有！！」,「但是，單身母親沒法不去工作！別看這樣，我可是個公司的社長，還背負著公司職員的生計！！一年到頭工作都很忙，連休假的時間都沒有！！」,"Ma sono una Madre single, quindi devo lavorare! Forse non lo sembro, ma sono il presidente di una compagnia, e reggo la responsabilità sul benessere dei miei impiegati!! Sono impegnata con il mio lavoro per tutto l'anno, quindi non ho tempo per riposarmi!!""","""¡Pero soy una madre soltera, y tengo que trabajar! ¡¡Puedo no parecerlo, pero soy la presidente de una compañía, y soy responsable del bienestar de mis empleados!! ¡¡Estoy ocupada todo el año con mi trabajo, no tengo tiempo para descansar!!""","""ﻟﻜﻨﻲ ﺃﻡٌ ﻋﺰﺑﺎﺀ، ﻟﺬﺍ ﻭﺍﺟﺐٌ ﻋﻠﻲ ﺃﻥ ﺃﻋﻤﻞ!  ﻗﺪ ﻻ ﻳﺒﺪﻭ ﻋﻠﻲّ ﺫﻟﻚ، ﻟﻜﻨﻲ ﻣﺪﻳﺮﺓ ﺷﺮﻛﺔ، ﻭﺃﻧﺎ ﻣﺴﺆﻭﻟﺔ ﻋﻦ ﻣﻌﻴﺸﺔ ﻣﻮﻇﻔﻴﻨﻲ!! ﺇﻧﻲ ﻣﺸﻐﻮﻟﺔ ﺑﺎﻟﻌﻤﻞ ﻃﻮﺍﻝ ﺍﻟﺴﻨﺔ، ﻟﺬﺍ ﻻ ﻭﻗﺖ ﻟﻠﺮﺍﺣﺔ!!"""
,"""{i:Really}? But you've been off work for the last three days, haven't you?""","""Reeally? But you've been on vacation these last three days, haven't you?"" ","""Re-ally?  But you've been on vacation these last three days, haven't you?""",「そうぉ？　でも、この三日間、お休みだったんでしょ？」,[=JP],"""{i:Вот как}? Вы ведь были в отпуске эти три дня, не так ли?""","""{i:É mesmo}? Mas você tirou férias nesses três últimos dias, não?""",「是么？但是，这三天时间，您是在休假吧？」,「是麼？但是，這三天時間，您是在休假吧？」,"""Davvero? ma lei è stata in vacanza in questi ultimi tre giorni, vero?""","""{i:¿En serio?} Pero ha estado de vacaciones estos últimos tres días, ¿verdad?""","""{i:ﺃﺣﻘًﺎ}? ﺃﻟﻢ ﺗﺄﺧﺬﻱ ﺇﺟﺎﺯﺓ ﻟﺜﻼﺛﺔ ﺃﻳﺎﻡ?"""
Ushiromiya Rosa,"""I, I have not been off work! I've been staying at my company for several nights working!! There's a mountain of matters to be taken care of that the other unreliable employees can't handle!!""","""I-I have not been on vacation! I've stayed at my company all night, working!! There's a mountain of matters to be taken care of that the other unreliable employees can't handle!!"" ","""I, I have not been on vacation!  I've stayed at my company all night working!!  There's a mountain of matters to be taken care of that the other unreliable employees can't handle!!""",「や、休みなんかじゃありません！　私はずっと会社で泊り掛けで仕事をしていました！！　他の頼りない社員では片付けられない案件が私には山積みなんです！！」,[=JP],"""Я... Не была я ни в каком отпуске! Я задержалась в компании, работая всю ночь! Есть горы разных забот, с которыми не могут справиться другие ненадёжные подчинённые!""","""E‐E não tirei férias! Eu passei diversas noites trabalhando na minha companhia!! Tem uma montanha de assuntos que eu preciso cuidar pessoalmente porque não posso deixar na mão de funcionários não confiáveis!!""",「才、才没在休假！这几天，我一直住在公司工作！！我面前有堆成山的其他靠不住的职员处理不了的事务！！」,「才、才沒在休假！這幾天，我一直住在公司工作！！我面前有堆成山的其他靠不住的職員處理不了的事務！！」,"""I-Io non sono stata in vacanza! Sono stata alla mia compagnia tutta la notte a lavorare!! C'è una montagna di faccende di cui prendersi cura che quegli inaffidabili dipendenti non possono occuparsene!!""","""¡N-No he estado de vacaciones! ¡¡He pasado la noche en mi compañía!! ¡¡Hay un montón de asuntos de los que encargarse que mis empleados no sabrían tratar!!""","""ﻛﻼ، ﻟﻴﺴﺖ ﺇﺟﺎﺯﺓ! ﻟﻘﺪ ﻛﻨﺖ ﺃﻋﻤﻞ ﻭﺃﺑﻴﺖ ﻓﻲ ﺍﻟﺸﺮﻛﺔ ﻃﻮﺍﻝ ﺍﻟﻮﻗﺖ!! ﻟﺪﻱّ ﻣﺸﺎﻏﻞ ﻣﻬﻤﺔ ﻭﻻ ﺃﺳﺘﻄﻴﻊ ﺍﻻﻋﺘﻤﺎﺩ ﻋﻠﻰ ﻣﻮﻇﻔﻴﻨﻲ ﻟﺤﻠﻬﺎ!!"""
,"""Why are you lying like that? The people at your company told us that you were taking a three‐day vacation, you know? You went to Hokkaido with your boyfriend, right? Leaving your daughter by herself for three whole days...!""","""Why are you lying like that? Someone from your company said that you were taking a three-day vacation, you see? You went to Hokkaido with your boyfriend, right? Leaving your daughter by herself for three whole days...!"" ","""Why are you lying like that?  Someone from your company said that you were taking a three day vacation, you see?  You went to Hokkaido with your boyfriend, right?  You left your daughter by herself for three whole days...!""",「どうしてそんなウソ吐くの。あなたの会社の人が、三日間お休みを取ってますって言ってるのよ？　彼氏さんと北海道に行ってきたんでしょう？　娘さんを三日間も置いて…！」,[=JP],"""Да что вы такое говорите? Какой‐то из работников вашей компании сказал, что вы взяли трёхдневный отпуск. Вы отправились на Хоккайдо со свои парнем, не так ли? И оставили свою дочь одну на три дня!""","""Por que está mentindo dessa forma? Os funcionários da sua companhia disseram que você tirou três dias de férias, sabia? Você foi para Hokkaido com seu namorado, não foi? Deixando sua filha sozinha por três dias...!""",「为什么要说这种谎话？贵公司的人都说了，您放了三天假哦？您是与男朋友去了北海道吧？扔下女儿三天不管…！」,「為什麼要說這種謊話？貴公司的人都說了，您放了三天假哦？您是與男朋友去了北海道吧？扔下女兒三天不管…！」,"""Perché sta mentendo in quel modo? Qualcuno dalla sua compagnia ha detto che stava prendendo una vacanza di tre giorni, capisce? Lei è andata a Hokkaido con il suo fidanzato, vero? Ha lasciato sua figlia da sola per tre giorni interi...!""","""¿Por qué miente así? Alguien de su compañía dijo que se había tomado tres días de vacaciones, ¿sabe? Fue a Hokkaido con su novio, ¿verdad? ¡Dejó a su hija sola durante tres días!...""","""ﻟﻤﺎﺫﺍ ﺗﻜﺬﺑﻴﻦ ﻫﻜﺬﺍ? ﺷﺨﺺ ﻣﻦ ﺷﺮﻛﺘﻚِ ﻗﺎﻝ ﺇﻧﻚِ ﻓﻲ ﺇﺟﺎﺯﺓ ﻟﻤﺪﺓ ﺛﻼﺛﺔ ﺃﻳﺎﻡ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟ ﺃﻟﻢ ﺗﺬﻫﺒﻲ ﻓﻲ ﺇﺟﺎﺯﺓ ﻟﻼﺳﺘﺠﻤﺎﻡ ﻓﻲ ﻣﺤﺎﻓﻈﺔ ﻫﻮﻛﺎﻳﺪﻭ ﺭﻓﻘﺔ ﻋﺸﻴﻘﻚ؟ ﺗﺎﺭﻛﺔً ﺍﺑﻨﺘﻚ ﻭﺣﻴﺪﺓ ﻟﺜﻼﺙ ﺃﻳﺎﻡ ﺑﻠﻴﺎﻟﻴﻬﺎ...!"""
Ushiromiya Rosa,"""I, I don't know anything about any boyfriend I don't know anything about Hokkaido!!! Why are you coming out with all this nonsense?! Why, why?! Do you have any proof?! What's wrong with you, don't just start butting in on someone else's family matters!!""","""I-I don't know anything about this boyfriend I don't know anything about Hokkaido!!! Where are you getting this nonsense?! Why, why?! Do you have any proof?!  What the hell, don't just start butting in on someone else's family matters!! ","""I, I don't know anything about this boyfriend I don't know anything about Hokkaido!!!  Why all this bullshit?!  Why, why?!  Got any proof?!   What the hell, don't just start talking about someone else's family matters!!",「かッ、彼氏なんて知りませんッ北海道なんて知りませんッ！！！　どうしてそんなデタラメ言うの？！どうしてどうしてッ？！なんか証拠でもあるの？！何よあんた勝手に人の家のことに口を出さないでよ！！,「かッ、彼氏なんて知りませんッ北海道なんて知りませんッ！！！　どうしてそんなデタラメ言うの？！　どうしてどうしてッ？！　なんか証拠でもあるの？！　何よあんた勝手に人の家のことに口を出さないでよ！！」,"""Я... я не знаю ничего ни о каком‐то там парне, ни о Хоккайдо!!! Что за бредятина?! Что?! Что?! У вас есть доказательства?! Какого чёрта?! Не лезьте в чужие семейные дела!","""E‐Eu não sei nada sobre nenhum namorado e muito menos sobre Hokkaido!!! Por que está falando esses absurdos de repente?! Por quê? Por quê?! Você tem alguma prova?! Qual o seu problema, não comece a se intrometer nos assuntos de uma família!!""",「我、我才不知道什么男朋友，什么北海道！！！你为什么要这么胡编乱造？！为什么为什么？！有什么证据吗？！搞什么啊你，少来自说自话地过问别人的家事！！」,「我、我才不知道什麼男朋友，什麼北海道！！！你為什麼要這麼胡編亂造？！為什麼為什麼？！有什麼證據嗎？！搞什麼啊你，少來自說自話地過問別人的家事！！」,"""I-Io non so niente su questo fidanzato io non so niente sull'Hokkaido!!! {n}Perché tutte queste idiozie?! Perché, perché?! Ha qualche prova?! Ma che diavolo, non inizi a parlare dei problemi di famiglia di qualcun altro!!","""¡¡¡N-No sé nada de este novio ni de Hokkaido!!! ¡¿A qué viene todo esto?! ¡¿Por qué, por qué?! ¡¿Tiene alguna prueba?! ¡¡Qué demonios, no se meta en los problemas familiares ajenos!!""","""ﻟـ-ﻟﻴﺲ ﻋﻨﺪﻱ ﺃﻱ ﻋﺸﻴﻖ، ﻭﻻ ﺃﻋﻠﻢ ﺷﻴﺌًﺎ ﻋﻦ ﻫﻮﻛﺎﻳﺪﻭ ﺃﻭ ﻏﻴﺮﻫﺎ!!!  ﻟﻤﺎﺫﺍ ﺗﻘﻮﻟﻴﻦ ﻣﺜﻞ ﻫﺬﺍ ﺍﻟﻬﺮﺍﺀ?! ﻟﻤﺎﺫﺍ، ﻟﻤﺎﺫﺍ?! ﺃﻟﺪﻳﻚِ ﺩﻟﻴﻞ?! ﻣﺎ ﺧﻄﺒﻚ؟ ﻻ ﺗﺘﺪﺧﻠﻲ ﻓﻴﻤﺎ ﻻ ﻳﺨﺼﻚ!!"""
Ushiromiya Rosa,"""I love Maria, I have my own way of loving her, so just keep your mouth shut!! I didn't go on a vacation, I was working the whole time, I was working!!""","I love Maria I have my own way of loving her so just keep your mouth shut!! I didn't go on a vacation I was just working the whole time!!"" ",  I love Maria I have my own way of loving her so just keep your mouth shut!!  I didn't go on a vacation I was just working the whole time!!,私は真里亞を愛してるのよ私には私なりの愛し方があるのよ勝手に口出さないでよ！！私は旅行になんて行ってないわよ仕事してたのよずっと！！,「私は真里亞を愛してるのよ私には私なりの愛し方があるのよ勝手に口出さないでよ！！　私は旅行になんて行ってないわよ仕事してたのよずっと！！」,"""Я по‐своему люблю Марию, так что закройте свой рот! Я не ездила в отпуска, а работала всё это время!""","""Eu amo a Maria, tenho a minha própria forma de amar ela, então mantenha sua boca fechada!! Eu não saí de férias, eu estava trabalhando o tempo inteiro, trabalhando!!""",「我爱着真里亚哦，我有我的爱法，少来自说自话地发表意见！！我才没有去旅游，一直都在工作！！」,「我愛著真里亞哦，我有我的愛法，少來自說自話地發表意見！！我才沒有去旅遊，一直都在工作！！」,"Io amo Maria, io ho il mio modo di amarla quindi tenga la bocca chiusa!! {n}Io non sono andata in vacanza, io sono stata a lavorare per tutto il tempo!!","""¡¡Quiero a María a mi manera, así que mantenga la boca cerrada!! ¡¡No fui de vacaciones, estuve todo el rato trabajando!!""","""ﺃﺣﺐُّ ﻣﺎﺭﻳﺎ ﻭﻋﻨﺪﻱ ﺃﺳﻠﻮﺑﻲ ﺍﻟﺨﺎﺹ ﻓﻲ ﺇﻇﻬﺎﺭ ﺣﺒّﻲ ﻟﻬﺎ، ﻓﻼ ﺗﺘﺪﺧﻠﻲ ﻓﻲ ﺣﻴﺎﺗﻨﺎ ﻫﻜﺬﺍ!! ﻟﻢ ﺃﺳﺎﻓﺮ ﻓﻲ ﺇﺟﺎﺯﺓ، ﺑﻞ ﻛﻨﺖ ﺃﻋﻤﻞ ﻃﻮﺍﻝ ﺍﻟﻮﻗﺖ، ﺃﻋﻤﻞ ﺑﺠﺪ!!"""
Ushiromiya Rosa,"""I was trying to finish things up at work with all my strength, all my strength because I wanted to see Maria as soon as I could!! I stayed at the company working and working and working and working and working, working and working and working and working!!""","""I was trying to finish things up at work with all my strength, all my strength because I wanted to see Maria as soon as I could!! I stayed at the company the whole whole whole whole, whole whole whole whole time!! ","I was trying to finish things up at work with all my strength, all my strength because I wanted to see Maria as soon as I could!!  I stayed at the company the whole whole whole whole, whole whole whole whole time!!",真里亞に一秒でも早く会いたくて仕事を少しでも早く片付けようと一生懸命一生懸命！！会社に泊まりこんでずっとずっとずっとずっと、ずっとずっとずっとずっと！！,「真里亞に一秒でも早く会いたくて仕事を少しでも早く片付けようと一生懸命一生懸命！！　会社に泊まりこんでずっとずっとずっとずっと、ずっとずっとずっとずっと！！」,"""Я изо всех сил пыталась завершить дела на работе, потому что хотела как можно скорее увидеться с Марией! Я оставалась в компании всё‐э‐то‐дол‐го‐е‐вре‐мя!""","""Eu estava me esforçando para terminar tudo, dando tudo de mim porque eu queria ver a Maria o mais rápido possível!! Eu fiquei na companhia trabalhando e trabalhando e trabalhando e trabalhando e trabalhando e trabalhando e trabalhando e trabalhando!!""",「为了早一秒也好地见到真里亚，快一点点也好地处理完工作，我拼上老命拼上老命！！留宿在公司一直一直一直一直，一直一直一直一直！！」,「為了早一秒也好地見到真里亞，快一點點也好地處理完工作，我拼上老命拼上老命！！留宿在公司一直一直一直一直，一直一直一直一直！！」,"Stavo cercando di finire delle cose al lavoro con tutte le mie forze, tutte le mie forze perché volevo vedere Maria il prima possibile!! Sono stata alla compagnia tutto, tutto, tutto, tutto, tutto, tutto, tutto, tutto il tempo!!","""¡¡Intentaba acabar las cosas en mi trabajo lo antes posible, lo antes posible porque quería ver a María tan pronto como pudiera!! ¡¡Estuve en la compañía todo, todo, todo, todo, todo, todo, todo, todo, el tiempo!!""","""ﻛﻨﺖ ﺃﻋﻤﻞ ﺑﺠﺪّ ﻭﺑﻜﻞّ ﻃﺎﻗﺘﻲ ﻷﻧﻬﻲ ﻋﻤﻠﻲ ﻓﻲ ﺃﺳﺮﻉ ﻭﻗﺖ ﻷﺭﻯ ﻣﺎﺭﻳﺎ ﻭﻟﻮ ﻟﺜﺎﻧﻴﺔ!! ﻛﻨﺖُ ﺃﺑﻴﺖ ﻓﻲ ﺷﺮﻛﺘﻲ ﻷﻋﻤﻞ ﻭﺃﻋﻤﻞ ﻭﺃﻋﻤﻞ ﻭﺃﻋﻤﻞ ﻭﺃﻋﻤﻞ ﻭﺃﻋﻤﻞ ﻭﺃﻋﻤﻞ ﻭﺃﻋﻤﻞ!!"""
Ushiromiya Rosa,"""I don't know anything I don't know anything, I don't know anything about Hokkaido, don't come in saying all this!!! Uuuaaaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}AAa{0}a{0}aAA{0}A{0}A{0}A{0}A{0}AAHHH!!! Please, just go!! Just go!!!!! What is wrong with you?!?! Just go!! JUST GO{-}O{-}O{-}O{-}O{-}O{-}O{-}OOO!!!""","I don't know I don't know I don't know anything about Hokkaido don't just go ahead and say something like thaaaaaaaaaaaaaaaaaaaaaaaaaaat!!! Just get out!! Get ooooooooout!! What's wrong with yoooooouuu?!! Get out!! Get ooooooooouuuut!!!"" ","  I don't know I don't know I don't know anything about Hokkaido don't just go ahead and say something like thaaaaaaaaaaaaaaaaaaaaaaaaaaat!!!  Just get out!!  Get ooooooooout!!  What's wrong with yoooooouuu!!  Get out!!  Get ooooooooouuuut!!!""",知らない知らない北海道なんて知らないわよ勝手なこと言わないでうあああああああああああぁああああぁああッ！！！もう帰ってッ！！帰ってよおおおおおお！！何なのよあんたはああああ！！帰ってッ！！帰ってええええええええッ！！！」,「知らない知らない北海道なんて知らないわよ勝手なこと言わないでうあああああああああああぁああああぁああッ！！！　もう帰ってッ！！　帰ってよおおおおおお！！　何なのよあんたはああああ！！　帰ってッ！！　帰ってええええええええッ！！！」,"""Я ничего, ничего, ничего не знаю о Хоккайдо, поэтому хвати нести этот бре‐е‐е‐е‐е‐ед!!! Убирайтесь! Во‐о‐он!!! Вы не поняли?! Проваливайте! Во‐о‐о‐о‐н!!!""","""Eu não sei nada eu não sei nada, eu não sei nada sobre Hokkaido, não fique se metendo nisso!!! Uuuaaaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}AAa{0}a{0}aAA{0}A{0}A{0}A{0}A{0}AAHHH!!! Por favor, vá embora!! Vá embora!!!!! Qual o seu problema?!?! Só vá embora!! VÁ EMBORA{‐}A{‐}A{‐}A{‐}A{‐}A{‐}A{‐}AAA!!!""",「不知道不知道不知道什么北海道，少自说自话地乱讲呜啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！给我回去！！回去啊——————！！搞什么啊，你啊啊啊啊！！回去！！回去————————！！！」,「不知道不知道不知道什麼北海道，少自說自話地亂講嗚啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！給我回去！！回去啊——————！！搞什麼啊，你啊啊啊啊！！回去！！回去————————！！！」,"Non so non so non so niente dell'Hokkaido non vada avanti e non dica qualcosa del genereeeeeeeeeeeeeeeeee!!! Vada via!! Vada viaaaaaaaaa!! Cosa c'è di sbagliato in leeeeeeeiii!! Vada via!! Vada viiiiiiiiiaaaa!!!""","""¡¡¡No sé, no sé, no sé, no sé nada sobre Hokkaido, no diga sin más algo asíííííííííí!!! ¡¡Largo!! ¡¡Largoooo!! ¡¡¿Qué demonios le pasaaaa?!! ¡¡Largo!! ¡¡¡LARGOOOOOOOOO!!!""","""ﻻ ﺃﻋﺮﻑ ﻭﻻ ﺃﺩﺭﻱ ﻭﻻ ﺃﻋﻠﻢ ﺷﻴﺌًﺎ ﻋﻦ ﻫﻮﻛﺎﻳﺪﻭ، ﺗﻮﻗﻔﻲ ﻋﻦ ﻫﺬﺍ ﺍﻟﻜﻼﻡ ﺍﻟﻔﺎﺭﻍ!!! ﺁﺁﺁﺁﺍﺍﺍﺍﺁﺁﺍﺍﺍﺁﺁﺁﺁﺁﺁﺁﺁﻩ!!! ﺍﺭﺣﻠﻲ ﺍﺭﺟﻮﻙ!! ﺍﺭﺣﻠﻲ!!!!! ﺍﻻ ﺗﻔﻬﻤﻴﻦ?!?! ﺍﺭﺣﻠﻲ!! ﺍﺭﺣﻠـــــــﻴﻴﻴﻴﻲ!!!"""
,"Rosa raged, her hair flying wildly.","Rosa raged, her hair flying wildly. ",[=UP],楼座は髪を振り乱しながら激高する。,楼座は髪を振り乱しながら激昂する。,"Роза гневалась, а её яростно развивающиеся волосы делали её похожей на фурию.","Rosa se enfureceu, seu cabelo estava completamente bagunçado.",楼座挥乱长发，激动地不得了。,樓座揮亂長髮，激動地不得了。,"Rosa si infuriò, i suoi capelli si muovevano selvaggiamente.","Rosa se enfureció, y su pelo se alborotó salvajemente.",ﺛﺎﺭﺕ ﺭﻭﺯﺍ ﻓﻔﺎﺽَ ﺷَﻌﺮُﻫﺎ.
,"She stood up with such force that her teacup fell over, and far louder than that noise was the sound of her beating the table with both hands.","A teacup was knocked over from the force of her standing up, but far louder than that was the sound of her beating the table with both hands. ","A teacup fell over from the force of her standing up, and far louder than that noise was the sound of her beating the table with both hands.",立ち上がった時の勢いでティーカップが倒れ、その音よりも遥かに大きい音で何度もテーブルを両手で叩いた。,[=JP],"От того, что она резко встала, на пол слетела чашка, но звук от её падения оказался перекрыт звуком удара двумя ладонями Розы по столу.","Ela se levantou com tanta força que sua xícara de chá caiu, e bateu na mesa com ambas as mãos fazendo um estrondo muito maior do que o som da xícara quebrando.",随着猛然站起之势，茶杯倒下，而远超此声的阵阵巨响，则是楼座一遍又一遍地以双手拍打桌子的声音。,隨著猛然站起之勢，茶杯倒下，而遠超此聲的陣陣巨響，則是樓座一遍又一遍地以雙手拍打桌子的聲音。,"Una tazza da tè cadde per la forza con cui si alzò, e ancora più rumoroso di quel rumore era il suono di lei che colpiva il tavolo con entrambe le mani.","Una taza de té cayó por la fuerza con la que se levantó, y más ruido hicieron los golpes que daba a la mesa.",ﻭﻗﻔﺖ ﺑﻘﻮﺓ ﺟﺎﺭﻓﺔ ﺃﺳﻘﻄﺖ ﻣﻌﻬﺎ ﻓﻨﺠﺎﻥَ ﺍﻟﺸﺎﻱ، ﻭﻣﺎ ﻋﻼ ﺻﻮﺗُﻪ ﻋﻠﻰ ﺻﻮﺕِ ﺿﺮﺑﻬﺎ ﻟﻠﻄﺎﻭﻟﺔ ﺑﻜﻠﺘﺎ ﻳﺪﻳﻬﺎ.
,"When faced with this rage that could accurately be described as wide‐eyed derangement, the female welfare officer couldn't help but be taken aback.","When faced with this rage that could accurately be described as wide-eyed derangement, the district welfare officer couldn't help but be taken aback. ","When faced with this rage that could accurately be described as wide-eyed derangement, the female district welfare officer couldn't help but be taken aback.",白目を剥いて錯乱している、という表現すらも充分に妥当と思えるその激高ぶりに、民生委員の女性は仰け反らずにはいられない。,白目を剥いて錯乱している、という表現すらも充分に妥当と思えるその激昂ぶりに、民生委員の女性は仰け反らずにはいられない。,"Встретив такой гнев, который вполне можно было назвать натуральным помешательством, соцработник даже опешила.","Deparada com tamanha fúria, que poderia ser descrita perfeitamente pelo desarranjo de seu olhar virado, a assistente acabou tendo que recuar.",面对以“翻起白眼精神错乱”来形容都十分恰当的这份激动劲儿，女民生委员不禁吓得后仰。,面對以“翻起白眼精神錯亂”來形容都十分恰當的這份激動勁兒，女民生委員不禁嚇得後仰。,"Quando di fronte a questa furia che può accuratamente essere descritta come uno sconvolgimento con gli occhi spalancati, l'assistente sociale del distretto femmina non poté aiutare se non facendosi prendere alla sprovvista.","Ante semejante ira, que solo podía ser descrita como enajenación mental, la asistente social no pudo evitar acobardarse.",ﺍﻫﺘﺎﺟﺖ ﺭﻭﺯﺍ ﻓﻲ ﻏﻀﺒﻬﺎ ﻟﺪﺭﺟﺔ ﺍﻧﻘﻼﺏ ﻋﻴﻨﻴﻬﺎ ﻟﺘﺮﻯ ﺑﻴﺎﺿﻬﻤﺎ ﻓﻘﻂ. ﺗﺮﺍﺟﻌﺖ ﺳﻴﺪﺓ ﺍﻟﺸﺆﻭﻥ ﺍﻻﺟﺘﻤﺎﻋﻴﺔ ﻣﻦ ﺷﺪﺓِ ﻣﺎ ﺭﺃﺕ.
,"......And the same went for Maria, who was secretly watching this from the hallway.","...And the same went for Maria, who was secretly watching this from the hallway. ",[=UP],……それは、廊下からこっそり様子をうかがっていた真里亞でさえも。,[=JP],"Опешила и Мария, тайком наблюдающая из коридора.","......E o mesmo aconteceu com Maria, que estava assistindo toda cena em segredo no corredor.",……从走廊上偷看着她们的真里亚也同样被吓着了。,……從走廊上偷看著她們的真里亞也同樣被嚇著了。,"... E lo stesso era per Maria, che stava segretamente guardando dal corridoio.","... Y lo mismo le pasó a María, que observaba secretamente desde el pasillo.",......ﻭﻛﺬﻟﻚ ﻛﺎﻧﺖ ﻣﺎﺭﻳﺎ، ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﺗﺮﺍﻗﺐُ ﺍﻷﻣﺮَ ﺳﺮًّﺍ ﻣﻦ ﺍﻟﺮﻭﺍﻕ.
,She had seen her mother enraged several times before.{n}But she had never seen her go this berserk with anger.,She had already seen her mother in a rage several times before this. But she had never seen her this crazed with anger. ,She had already seen her mother in a rage several times before this.But she had never seen her this mad with anger.,母が激高するところを何度も見てきた。でも、こんな怒り狂う様を見るのは初めてだった。,母が激昂するところを何度も見てきた。{n}でも、こんな怒り猛る様を見るのは初めてだった。,Ей уже доводилось раньше видеть свою мать в гневе.{n}Но она ещё ни разу не видела её обезумевшей от гнева.,Ela já havia visto sua mãe furiosa diversas vezes.{n}Mas ela nunca havia visto ela descontrolada com tamanha raiva.,她见过许多次母亲激动时的情景。{n}但是，此等狂怒的样子还是第一次见。,她見過許多次母親激動時的情景。{n}但是，此等狂怒的樣子還是第一次見。,Aveva già visto sua Madre infuriata parecchie volte prima di questa. Ma non l'aveva mai vista così arrabbiata.,Ya había visto a su madre furiosa varias veces.{n}Pero nunca hasta ese punto.,ﻟﻘﺪ ﺭﺃﺕ ﺃﻣَّﻬﺎ ﺗﺜﻮﺭُ ﻏﻀﺒًﺎ ﻋﺪﺓَ ﻣﺮﺍﺕٍ ﻣﻦ ﻗﺒﻞ.{n}ﻭﻟﻜﻨﻬﺎ ﻟﻢ ﺗﺮَﻫﺎ ﻳﻮﻣًﺎ ﺑﻠﻐﺖ ﻫﺬﺍ ﺍﻟﻌﺘﻮَّ ﻣﻦ ﺍﻟﻬﻴﺎﺝ.
,"Seeing this, Maria was sure.{n}......This was no longer her mother.","When she saw this, Maria was sure. ...This was no longer her mother. ","When she saw this, Maria was sure.......This was no longer her mother.",それを見て真里亞は確信する。……それはもはや、母親ではない。,それを見て真里亞は確信する。{n}……それはもはや、母親ではない。,"Увидев это, Мария окончательно уверилась.{n}Это была не её мать.","Vendo aquilo, Maria teve certeza.{n}......Aquilo não era mais sua mãe.",将此看在眼中的真里亚，确信了。{n}……那已不是，自己的母亲。,將此看在眼中的真里亞，確信了。{n}……那已不是，自己的母親。,"Quando la guardò, Maria era sicura. ... Questa non era più sua Madre.","Al verla, María estuvo segura.{n}... Ya no era su madre.",ﻋﻨﺪﻣﺎ ﺭﺃﺕ ﻣﺎﺭﻳﺎ ﻫﺬﺍ، ﺃﻳﻘﻨﺖ.{n}......ﺃﻥَّ ﻫﺬﻩ ﻟﻢ ﺗﻌﺪ ﺃﻣَّﻬﺎ.
,It was some other evil being that was possessing her mother's body...,It was some other evil being that was possessing her mother's body... ,[=UP],母親の体に憑依した、邪悪なる別の存在だ…。,[=JP],В её мать вселилась какая‐то другая злая сущность.,Era alguma existência maligna que havia possuído o corpo de sua mãe...,而是凭依在母亲身体上的，邪恶的另一存在…。,而是憑依在母親身體上的，邪惡的另一存在…。,Era un essere malvagio che possedeva il corpo di sua Madre...,Era algún ser malvado que había poseído el cuerpo de su madre...,ﺑﻞ ﻛﺎﺋﻦٌ ﺷﺮﻳﺮ ﺁﺧﺮ ﻳَﺘﻠﺒَّﺲ ﺃﻣﻬﺎ...
